customerID;gender;SeniorCitizen;Partner;Dependents;tenure;PhoneService;MultipleLines;InternetService;OnlineSecurity;OnlineBackup;DeviceProtection;TechSupport;StreamingTV;StreamingMovies;Contract;PaperlessBilling;PaymentMethod;MonthlyCharges;TotalCharges;Churn
C1324;Female;0;Yes;No;71;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;Yes;Bank transfer (automatic);24,65;1710.15;0
C5667;Male;0;Yes;No;35;No;No phone service;DSL;Yes;No;Yes;No;Yes;Yes;One year;No;Credit card (automatic);53,15;1930.9;0
C1942;Male;0;No;No;3;Yes;No;DSL;No;No;No;No;No;Yes;Month-to-month;No;Mailed check;54,65;189.1;0
C6602;Male;1;Yes;No;72;Yes;Yes;Fiber optic;No;Yes;Yes;Yes;Yes;Yes;Two year;No;Credit card (automatic);109,7;7898.45;0
C1903;Male;0;Yes;Yes;72;Yes;Yes;DSL;Yes;Yes;Yes;Yes;Yes;Yes;Two year;Yes;Credit card (automatic);90,6;6441.85;0
C3705;Female;0;Yes;Yes;68;Yes;Yes;DSL;Yes;Yes;Yes;No;Yes;No;One year;Yes;Credit card (automatic);73;5163;0
C388;Female;0;No;No;42;No;No phone service;DSL;Yes;Yes;Yes;Yes;No;Yes;One year;Yes;Electronic check;54,75;2348.45;0
C5551;Male;1;No;No;21;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;No;Bank transfer (automatic);20,5;429.55;0
C1033;Female;1;No;No;8;Yes;No;Fiber optic;No;No;Yes;No;Yes;Yes;Month-to-month;Yes;Electronic check;92,1;729.95;1
C4524;Male;1;Yes;No;10;Yes;No;Fiber optic;Yes;No;No;No;No;No;Month-to-month;No;Electronic check;75,3;720.45;0
C6583;Female;0;No;No;71;Yes;Yes;Fiber optic;Yes;Yes;Yes;No;Yes;Yes;Two year;Yes;Credit card (automatic);106,75;7283.25;0
C5588;Female;1;No;No;46;Yes;No;Fiber optic;No;Yes;Yes;No;Yes;No;One year;Yes;Bank transfer (automatic);91,3;4126.35;0
C3307;Female;0;Yes;Yes;3;Yes;No;Fiber optic;No;Yes;No;Yes;No;No;Month-to-month;Yes;Electronic check;80;241.3;0
C6626;Female;1;No;No;12;Yes;Yes;Fiber optic;No;Yes;No;No;Yes;No;Month-to-month;Yes;Electronic check;91,3;1094.5;1
C3317;Female;0;Yes;No;26;No;No phone service;DSL;Yes;Yes;Yes;No;Yes;No;One year;No;Bank transfer (automatic);47,85;1190.5;0
C1011;Male;0;No;No;3;Yes;No;DSL;Yes;No;No;No;No;No;Month-to-month;Yes;Mailed check;50,15;160.85;0
C3642;Female;0;No;No;49;Yes;No;DSL;No;No;Yes;Yes;Yes;Yes;Two year;Yes;Bank transfer (automatic);74,45;3721.9;0
C932;Male;0;No;No;33;Yes;No;Fiber optic;No;Yes;No;Yes;No;No;Two year;No;Bank transfer (automatic);80,6;2651.1;0
C6353;Male;0;Yes;No;42;Yes;Yes;Fiber optic;Yes;No;Yes;No;No;Yes;Month-to-month;Yes;Electronic check;94,4;4014.6;0
C692;Male;0;Yes;Yes;31;Yes;Yes;DSL;Yes;Yes;No;Yes;No;Yes;One year;Yes;Bank transfer (automatic);75,25;2344.5;0
C534;Male;1;Yes;Yes;68;Yes;Yes;Fiber optic;No;No;Yes;Yes;Yes;Yes;One year;Yes;Credit card (automatic);107,15;7379.8;0
C6452;Male;1;Yes;Yes;66;Yes;Yes;Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;One year;Yes;Electronic check;116,25;7862.25;0
C2228;Male;0;Yes;Yes;58;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;Yes;Electronic check;19,55;1108.8;0
C653;Male;0;Yes;Yes;35;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Mailed check;20,1;655.3;0
C34;Male;0;No;No;1;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Bank transfer (automatic);20,2;20.2;0
C4119;Female;0;No;No;40;Yes;No;Fiber optic;No;Yes;No;No;No;No;Month-to-month;No;Credit card (automatic);74,8;2971.7;0
C45;Female;0;Yes;No;13;Yes;Yes;DSL;Yes;Yes;No;Yes;Yes;No;Month-to-month;Yes;Electronic check;76,2;981.45;0
C6768;Male;0;Yes;No;57;Yes;No;DSL;Yes;No;No;Yes;No;No;Month-to-month;No;Electronic check;55,7;3171.6;0
C5101;Female;0;No;No;1;Yes;No;Fiber optic;No;No;Yes;No;No;No;Month-to-month;No;Electronic check;75,3;75.3;1
C965;Male;0;No;No;1;Yes;No;DSL;No;No;No;No;No;No;Month-to-month;Yes;Mailed check;45,7;45.7;1
C5590;Female;0;No;No;46;Yes;No;DSL;No;No;Yes;Yes;No;No;Two year;No;Credit card (automatic);54,35;2460.15;1
C2416;Female;1;Yes;Yes;40;Yes;Yes;Fiber optic;No;No;No;No;Yes;Yes;Month-to-month;Yes;Credit card (automatic);94,55;3640.45;1
C6203;Male;0;Yes;Yes;21;Yes;Yes;DSL;Yes;Yes;No;Yes;Yes;No;One year;No;Mailed check;77,5;1625;1
C2264;Female;0;No;No;6;Yes;No;Fiber optic;Yes;Yes;Yes;Yes;No;Yes;Month-to-month;Yes;Bank transfer (automatic);98,15;567.45;1
C5203;Male;0;Yes;Yes;59;Yes;Yes;Fiber optic;Yes;Yes;No;Yes;Yes;Yes;Two year;Yes;Mailed check;111,1;6555.2;0
C4451;Male;0;No;No;15;Yes;Yes;DSL;No;Yes;No;Yes;No;No;Month-to-month;Yes;Credit card (automatic);58,6;939.7;1
C5248;Female;0;No;No;27;Yes;Yes;Fiber optic;No;No;No;No;Yes;Yes;Month-to-month;Yes;Mailed check;94,55;2724.6;1
C6307;Male;0;No;No;71;Yes;Yes;Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;One year;Yes;Bank transfer (automatic);116,3;8309.55;0
C5245;Female;0;No;No;45;Yes;Yes;Fiber optic;No;No;Yes;No;No;Yes;Month-to-month;Yes;Credit card (automatic);89,3;4192.15;0
C2317;Male;0;No;No;4;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Mailed check;20,7;73.05;0
C2618;Female;0;No;No;1;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;Yes;Mailed check;19,6;19.6;1
C27;Male;0;Yes;Yes;47;Yes;Yes;Fiber optic;No;Yes;No;No;Yes;Yes;Month-to-month;Yes;Electronic check;99,35;4749.15;1
C3606;Male;0;No;No;34;Yes;No;DSL;No;Yes;No;No;No;No;Month-to-month;Yes;Electronic check;49,8;1734.2;0
C64;Female;0;Yes;Yes;18;Yes;No;DSL;No;No;Yes;Yes;No;No;One year;Yes;Credit card (automatic);54,4;957.1;0
C1045;Female;0;No;No;8;Yes;No;DSL;Yes;No;No;Yes;No;No;One year;No;Bank transfer (automatic);54,25;447.75;0
C3661;Male;0;No;No;7;No;No phone service;DSL;No;No;Yes;Yes;No;No;One year;Yes;Credit card (automatic);35,5;249.55;0
C5361;Male;0;Yes;Yes;5;Yes;Yes;Fiber optic;Yes;No;Yes;No;No;No;Month-to-month;Yes;Electronic check;84,5;453.75;1
C2657;Female;0;No;No;39;Yes;No;DSL;No;No;No;Yes;No;Yes;One year;No;Electronic check;59,3;2209.15;0
C1455;Male;0;Yes;Yes;29;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;Yes;Mailed check;20,65;654.85;0
C228;Female;0;Yes;No;1;Yes;No;DSL;No;No;No;No;Yes;No;Month-to-month;No;Mailed check;55,2;55.2;1
C6985;Male;0;No;Yes;31;No;No phone service;DSL;No;No;No;No;No;No;Month-to-month;No;Credit card (automatic);25;789.2;0
C3081;Male;0;No;No;2;No;No phone service;DSL;No;No;No;No;No;No;Month-to-month;No;Mailed check;24,3;38.45;0
C3318;Male;0;Yes;No;63;Yes;No;DSL;Yes;Yes;No;Yes;Yes;No;One year;No;Credit card (automatic);70,8;4448.8;0
C5036;Male;0;No;No;20;Yes;No;Fiber optic;No;No;No;No;Yes;No;Month-to-month;No;Electronic check;78,8;1641.3;0
C3185;Female;0;Yes;No;71;Yes;Yes;DSL;No;Yes;Yes;Yes;Yes;Yes;Two year;Yes;Credit card (automatic);83,3;5894.5;0
C2834;Female;0;No;No;66;Yes;No;DSL;Yes;Yes;Yes;No;No;No;Two year;Yes;Bank transfer (automatic);61,15;4017.45;0
C3540;Male;0;No;No;8;Yes;No;DSL;No;No;No;No;No;No;Month-to-month;Yes;Mailed check;45,15;438.4;1
C970;Female;0;No;No;2;Yes;Yes;Fiber optic;No;No;No;No;Yes;Yes;Month-to-month;Yes;Electronic check;96;174.8;1
C4604;Male;0;Yes;No;3;No;No phone service;DSL;Yes;No;No;Yes;No;No;Month-to-month;No;Mailed check;35,1;101.1;0
C5752;Female;0;No;No;47;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Credit card (automatic);20,25;1029.8;0
C2663;Male;0;No;No;2;No;No phone service;DSL;No;No;Yes;No;Yes;Yes;Month-to-month;Yes;Electronic check;49,25;90.35;1
C4095;Male;0;No;No;1;Yes;No;Fiber optic;No;No;No;Yes;No;No;Month-to-month;No;Electronic check;74;74;0
C6035;Female;0;No;No;7;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;No;Mailed check;20,25;129.15;0
C3814;Male;0;Yes;Yes;69;Yes;Yes;Fiber optic;No;Yes;Yes;No;Yes;Yes;Two year;Yes;Electronic check;105;7297.75;0
C2388;Male;0;No;No;5;Yes;Yes;Fiber optic;No;Yes;Yes;No;Yes;Yes;Month-to-month;No;Electronic check;105,3;550.6;0
C4225;Female;0;Yes;No;71;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Mailed check;19,6;1416.5;0
C6376;Female;0;No;No;1;Yes;No;Fiber optic;No;Yes;No;No;No;No;Month-to-month;Yes;Credit card (automatic);74,3;74.3;1
C3568;Female;0;Yes;Yes;14;Yes;No;Fiber optic;No;Yes;No;Yes;No;Yes;Month-to-month;Yes;Credit card (automatic);89,65;1208.35;1
C4149;Female;0;No;No;29;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Credit card (automatic);19,35;601.6;0
C2647;Male;0;No;No;56;Yes;No;DSL;No;Yes;Yes;Yes;Yes;Yes;Two year;Yes;Credit card (automatic);81,8;4534.45;0
C6627;Male;1;Yes;No;6;Yes;No;Fiber optic;No;No;Yes;No;Yes;Yes;Month-to-month;Yes;Electronic check;95,75;573.75;1
C253;Male;1;Yes;No;1;No;No phone service;DSL;No;Yes;No;No;Yes;No;Month-to-month;No;Electronic check;40,2;40.2;1
C5436;Female;0;Yes;Yes;46;Yes;No;Fiber optic;No;No;Yes;Yes;No;Yes;One year;No;Bank transfer (automatic);90,95;4236.6;0
C4555;Male;0;No;No;20;Yes;No;Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;Month-to-month;Yes;Bank transfer (automatic);108,2;2203.7;0
C3976;Female;1;No;No;20;Yes;Yes;Fiber optic;No;No;No;No;No;Yes;Month-to-month;Yes;Credit card (automatic);85,8;1727.5;1
C4848;Female;1;No;No;37;Yes;Yes;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;76,25;2841.55;1
C5720;Female;0;Yes;Yes;24;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;Yes;Mailed check;19,7;494.05;0
C2819;Male;0;Yes;Yes;29;Yes;No;Fiber optic;Yes;No;No;No;Yes;Yes;Month-to-month;No;Credit card (automatic);94,65;2649.15;1
C1703;Female;0;Yes;No;21;Yes;Yes;Fiber optic;Yes;No;Yes;No;Yes;Yes;Month-to-month;Yes;Bank transfer (automatic);104,4;2200.25;1
C4429;Male;0;Yes;Yes;19;Yes;Yes;Fiber optic;No;No;Yes;Yes;Yes;Yes;Month-to-month;No;Electronic check;103,3;2012.7;1
C4809;Female;0;No;No;54;Yes;No;DSL;Yes;No;Yes;Yes;Yes;Yes;Two year;No;Electronic check;80,6;4299.95;0
C3791;Male;0;No;No;2;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;No;Credit card (automatic);19,3;28.3;1
C5723;Female;1;Yes;No;27;Yes;Yes;Fiber optic;Yes;No;No;Yes;Yes;Yes;Month-to-month;Yes;Bank transfer (automatic);104,3;2867.75;1
C4042;Male;0;No;No;46;No;No phone service;DSL;Yes;No;Yes;Yes;Yes;Yes;Two year;Yes;Bank transfer (automatic);60,75;2893.4;0
C2095;Female;0;No;No;18;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Mailed check;19,65;391.7;0
C2844;Female;0;Yes;Yes;52;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Mailed check;19,85;1070.5;0
C642;Female;0;Yes;Yes;43;Yes;No;DSL;No;No;No;No;Yes;No;Month-to-month;No;Electronic check;56,15;2499.3;1
C6141;Female;0;No;No;3;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Mailed check;19,95;58;0
C3883;Male;0;No;No;4;Yes;No;DSL;No;No;No;No;No;No;Month-to-month;Yes;Credit card (automatic);44,8;176.2;0
C4406;Male;0;Yes;Yes;6;Yes;No;Fiber optic;No;Yes;No;No;No;Yes;Month-to-month;Yes;Credit card (automatic);83,55;477.55;1
C298;Male;1;Yes;No;35;Yes;Yes;Fiber optic;No;No;Yes;No;Yes;Yes;Month-to-month;Yes;Electronic check;100,8;3437.5;0
C304;Female;0;Yes;Yes;68;No;No phone service;DSL;No;Yes;Yes;Yes;Yes;Yes;Two year;No;Credit card (automatic);60,3;4109;0
C2407;Female;0;No;No;5;Yes;No;Fiber optic;No;Yes;No;No;Yes;Yes;Month-to-month;Yes;Electronic check;96,25;512.45;1
C5817;Female;0;No;No;3;Yes;No;DSL;No;No;No;No;No;No;Month-to-month;No;Electronic check;44,6;122.7;0
C3155;Female;1;No;No;4;Yes;No;Fiber optic;No;Yes;No;No;No;No;Month-to-month;No;Electronic check;72,75;317.75;0
C1840;Female;0;No;No;4;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;Yes;Credit card (automatic);25,3;116.95;0
C4385;Female;0;Yes;No;2;Yes;No;Fiber optic;No;Yes;Yes;No;No;No;Month-to-month;No;Bank transfer (automatic);79,7;165;1
C4307;Male;0;Yes;Yes;40;Yes;Yes;Fiber optic;Yes;Yes;No;Yes;Yes;Yes;Month-to-month;Yes;Credit card (automatic);110,1;4469.1;0
C656;Male;0;No;No;10;Yes;No;Fiber optic;No;No;No;Yes;Yes;Yes;Month-to-month;Yes;Credit card (automatic);95,1;865.1;0
C4140;Male;1;No;No;24;Yes;Yes;Fiber optic;No;Yes;No;No;No;No;Month-to-month;Yes;Electronic check;80,5;2088.45;0
C4687;Female;1;No;No;72;Yes;Yes;Fiber optic;Yes;Yes;Yes;Yes;No;Yes;Two year;Yes;Bank transfer (automatic);107,4;7748.75;0
C4776;Female;0;Yes;No;24;Yes;No;Fiber optic;No;Yes;Yes;No;Yes;Yes;Month-to-month;Yes;Credit card (automatic);99,3;2431.35;1
C241;Female;0;No;No;72;Yes;Yes;DSL;No;Yes;Yes;Yes;Yes;Yes;Two year;No;Bank transfer (automatic);86,6;6350.5;0
C784;Female;0;No;No;1;Yes;No;DSL;No;No;No;Yes;No;No;Month-to-month;Yes;Electronic check;52,2;52.2;1
C1355;Female;0;No;No;18;Yes;Yes;Fiber optic;No;No;No;Yes;Yes;No;Month-to-month;Yes;Electronic check;88,35;1639.3;1
C1019;Male;0;No;No;4;No;No phone service;DSL;No;No;No;Yes;No;Yes;Month-to-month;Yes;Electronic check;40,05;162.45;0
C4913;Male;1;No;No;36;Yes;Yes;Fiber optic;Yes;No;No;No;Yes;No;Month-to-month;Yes;Electronic check;90,85;3186.7;1
C978;Female;0;No;No;11;Yes;Yes;Fiber optic;No;No;No;No;No;No;Month-to-month;No;Electronic check;75,25;888.65;0
C810;Male;0;No;No;1;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;69,55;69.55;1
C6756;Male;0;No;No;42;Yes;Yes;Fiber optic;No;No;Yes;No;No;No;Month-to-month;No;Electronic check;79,9;3313.4;0
C5037;Female;1;Yes;No;16;Yes;Yes;Fiber optic;No;No;No;No;No;Yes;Month-to-month;Yes;Credit card (automatic);85,35;1375.15;1
C258;Male;0;No;No;50;Yes;Yes;Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;One year;No;Credit card (automatic);114,35;5791.1;0
C894;Female;0;No;No;1;No;No phone service;DSL;No;No;No;No;No;No;Month-to-month;No;Electronic check;24,6;24.6;1
C5937;Female;0;Yes;Yes;38;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;Yes;Mailed check;19,95;756.4;0
C4367;Male;1;Yes;Yes;24;Yes;Yes;Fiber optic;Yes;No;No;No;No;No;Month-to-month;Yes;Electronic check;79,85;1857.75;0
C3590;Male;0;Yes;Yes;31;Yes;Yes;DSL;No;No;No;No;No;Yes;Month-to-month;No;Bank transfer (automatic);59,7;1825.5;0
C5163;Male;0;No;Yes;8;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Bank transfer (automatic);19,45;159.2;0
C5230;Female;1;Yes;No;43;Yes;Yes;Fiber optic;No;No;Yes;Yes;Yes;Yes;One year;Yes;Electronic check;107,55;4533.9;1
C5168;Female;0;Yes;No;57;Yes;No;DSL;Yes;Yes;No;Yes;Yes;No;Two year;Yes;Credit card (automatic);70,35;4124.65;0
C3289;Female;0;Yes;Yes;13;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Mailed check;20,85;272.35;0
C6699;Male;0;No;No;40;Yes;No;Fiber optic;No;Yes;No;Yes;No;Yes;One year;Yes;Credit card (automatic);89,6;3488.15;0
C2133;Male;0;Yes;Yes;23;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;No;Mailed check;19,65;436.9;0
C6244;Female;0;Yes;Yes;72;Yes;Yes;DSL;Yes;Yes;Yes;No;Yes;Yes;Two year;Yes;Credit card (automatic);83,6;5959.3;0
C5521;Female;0;No;No;55;Yes;Yes;Fiber optic;Yes;No;Yes;No;No;No;One year;Yes;Credit card (automatic);84,25;4589.85;0
C1358;Male;0;Yes;No;48;Yes;Yes;Fiber optic;Yes;Yes;Yes;No;Yes;Yes;Month-to-month;Yes;Bank transfer (automatic);111,45;5315.1;0
C1562;Male;0;No;No;1;Yes;Yes;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;74,95;74.95;1
C6055;Female;0;Yes;Yes;36;Yes;Yes;Fiber optic;No;Yes;Yes;No;Yes;No;Month-to-month;Yes;Bank transfer (automatic);97,35;3457.9;1
C2252;Male;0;No;No;11;Yes;No;DSL;No;No;Yes;No;Yes;Yes;Month-to-month;Yes;Electronic check;69,35;712.25;0
C5475;Female;0;No;No;1;Yes;Yes;Fiber optic;No;No;No;No;Yes;No;Month-to-month;Yes;Electronic check;84,6;84.6;0
C2472;Female;0;Yes;No;53;Yes;Yes;Fiber optic;No;Yes;No;No;Yes;Yes;Month-to-month;Yes;Credit card (automatic);98,4;5149.5;1
C3134;Male;0;Yes;No;70;No;No phone service;DSL;No;Yes;Yes;Yes;No;Yes;One year;Yes;Bank transfer (automatic);51,05;3635.15;0
C2025;Male;0;No;No;12;Yes;No;Fiber optic;No;No;Yes;No;Yes;Yes;One year;No;Electronic check;95,7;1184;0
C4688;Male;0;Yes;No;22;Yes;No;Fiber optic;No;No;Yes;No;Yes;Yes;Month-to-month;Yes;Credit card (automatic);94,7;1914.9;1
C2987;Female;0;Yes;Yes;55;Yes;No;Fiber optic;No;No;No;No;No;No;Two year;Yes;Credit card (automatic);69,05;3842.6;0
C2043;Female;1;No;No;28;Yes;Yes;DSL;No;Yes;Yes;Yes;No;No;Month-to-month;No;Bank transfer (automatic);64,45;1867.6;0
C4906;Female;0;Yes;Yes;58;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;Yes;Mailed check;19,85;1158.85;0
C2877;Male;0;No;No;19;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;Yes;Credit card (automatic);19,7;386.5;0
C2670;Female;0;No;No;19;Yes;Yes;Fiber optic;Yes;Yes;No;No;No;Yes;Month-to-month;Yes;Electronic check;95,15;1789.25;1
C4757;Male;0;No;No;31;Yes;No;DSL;Yes;Yes;Yes;Yes;Yes;No;Month-to-month;Yes;Bank transfer (automatic);72,45;2156.25;0
C5729;Female;0;No;No;13;Yes;Yes;Fiber optic;No;Yes;Yes;Yes;No;No;Month-to-month;No;Electronic check;89,4;1132.35;1
C4099;Male;0;No;No;1;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;Yes;Mailed check;20,2;20.2;1
C7019;Male;0;Yes;Yes;1;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Mailed check;70,65;70.65;1
C3807;Female;1;No;No;18;Yes;No;Fiber optic;No;Yes;No;No;No;No;Month-to-month;Yes;Electronic check;73,55;1359.45;0
C6843;Male;0;No;No;13;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;Yes;Mailed check;19,95;257;0
C3476;Female;0;Yes;Yes;2;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;No;Mailed check;20,3;31.9;0
C1093;Male;0;Yes;No;70;Yes;No;DSL;Yes;Yes;Yes;Yes;No;No;Two year;No;Credit card (automatic);64,95;4523.25;0
C5868;Male;1;Yes;No;44;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;Yes;Credit card (automatic);19,35;847.25;0
C125;Female;0;Yes;Yes;4;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Mailed check;20,85;62.9;0
C4153;Male;0;Yes;No;65;Yes;Yes;DSL;Yes;No;Yes;Yes;No;Yes;Two year;No;Bank transfer (automatic);76,15;4929.55;0
C6883;Female;1;No;No;71;Yes;Yes;Fiber optic;Yes;Yes;No;Yes;Yes;No;One year;Yes;Credit card (automatic);99,65;7181.25;0
C4490;Female;0;Yes;Yes;64;Yes;Yes;DSL;No;Yes;No;No;No;No;One year;Yes;Bank transfer (automatic);53,85;3399.85;0
C2923;Female;0;Yes;No;28;Yes;No;Fiber optic;Yes;No;No;No;Yes;Yes;Month-to-month;Yes;Mailed check;92,35;2602.9;1
C2517;Female;1;No;No;16;Yes;Yes;Fiber optic;No;No;No;No;Yes;Yes;Month-to-month;Yes;Electronic check;96,4;1581.2;1
C6039;Female;0;Yes;Yes;70;Yes;Yes;Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;Two year;Yes;Bank transfer (automatic);114,2;7723.9;1
C1554;Female;0;Yes;Yes;39;Yes;No;Fiber optic;No;No;Yes;Yes;No;No;Month-to-month;Yes;Bank transfer (automatic);81,5;3107.3;0
C3483;Male;0;No;No;19;Yes;No;DSL;No;No;No;No;No;No;Month-to-month;Yes;Bank transfer (automatic);45;865.85;0
C2887;Female;0;No;No;60;Yes;No;Fiber optic;Yes;No;Yes;Yes;Yes;Yes;Month-to-month;Yes;Bank transfer (automatic);104,95;6236.75;0
C599;Male;0;Yes;No;51;Yes;Yes;Fiber optic;No;Yes;No;No;No;Yes;One year;Yes;Credit card (automatic);90,35;4614.55;0
C76;Female;1;No;No;56;Yes;Yes;Fiber optic;Yes;Yes;Yes;No;Yes;Yes;One year;No;Electronic check;110,5;6139.5;0
C1340;Male;0;Yes;No;66;Yes;Yes;Fiber optic;No;Yes;Yes;No;Yes;Yes;Month-to-month;Yes;Credit card (automatic);105;7133.25;1
C1417;Female;0;Yes;Yes;58;No;No phone service;DSL;No;No;Yes;Yes;Yes;Yes;Two year;Yes;Credit card (automatic);55,5;3166.9;0
C4773;Female;0;Yes;Yes;69;Yes;No;DSL;No;Yes;Yes;Yes;No;No;One year;No;Bank transfer (automatic);59,1;4134.7;0
C1650;Female;0;No;No;27;Yes;No;DSL;No;Yes;No;Yes;No;No;Month-to-month;Yes;Mailed check;56,15;1439.35;0
C5653;Female;0;No;No;1;Yes;No;DSL;No;Yes;No;No;No;No;Month-to-month;Yes;Electronic check;48,6;48.6;0
C3207;Female;0;No;No;6;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Mailed check;20;109.2;0
